Name                                                        Type                                     Description
----------------------------------------------------------  ---------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AcrPush                                                     Microsoft.Authorization/roleDefinitions  acr push
API Management Service Contributor                          Microsoft.Authorization/roleDefinitions  Can manage service and the APIs
AcrPull                                                     Microsoft.Authorization/roleDefinitions  acr pull
AcrImageSigner                                              Microsoft.Authorization/roleDefinitions  acr image signer
AcrDelete                                                   Microsoft.Authorization/roleDefinitions  acr delete
AcrQuarantineReader                                         Microsoft.Authorization/roleDefinitions  acr quarantine data reader
AcrQuarantineWriter                                         Microsoft.Authorization/roleDefinitions  acr quarantine data writer
API Management Service Operator Role                        Microsoft.Authorization/roleDefinitions  Can manage service but not the APIs
API Management Service Reader Role                          Microsoft.Authorization/roleDefinitions  Read-only access to service and APIs
Application Insights Component Contributor                  Microsoft.Authorization/roleDefinitions  Can manage Application Insights components
Application Insights Snapshot Debugger                      Microsoft.Authorization/roleDefinitions  Gives user permission to use Application Insights Snapshot Debugger features
Attestation Reader                                          Microsoft.Authorization/roleDefinitions  Can read the attestation provider properties
Automation Job Operator                                     Microsoft.Authorization/roleDefinitions  Create and Manage Jobs using Automation Runbooks.
Automation Runbook Operator                                 Microsoft.Authorization/roleDefinitions  Read Runbook properties - to be able to create Jobs of the runbook.
Automation Operator                                         Microsoft.Authorization/roleDefinitions  Automation Operators are able to start, stop, suspend, and resume jobs
Avere Contributor                                           Microsoft.Authorization/roleDefinitions  Can create and manage an Avere vFXT cluster.
Avere Operator                                              Microsoft.Authorization/roleDefinitions  Used by the Avere vFXT cluster to manage the cluster
Azure Kubernetes Service Cluster Admin Role                 Microsoft.Authorization/roleDefinitions  List cluster admin credential action.
Azure Kubernetes Service Cluster User Role                  Microsoft.Authorization/roleDefinitions  List cluster user credential action.
Azure Maps Data Reader                                      Microsoft.Authorization/roleDefinitions  Grants access to read map related data from an Azure maps account.
Azure Stack Registration Owner                              Microsoft.Authorization/roleDefinitions  Lets you manage Azure Stack registrations.
Backup Contributor                                          Microsoft.Authorization/roleDefinitions  Lets you manage backup service,but can't create vaults and give access to others
Billing Reader                                              Microsoft.Authorization/roleDefinitions  Allows read access to billing data
Backup Reader                                               Microsoft.Authorization/roleDefinitions  Can view backup services, but can't make changes
Blockchain Member Node Access (Preview)                     Microsoft.Authorization/roleDefinitions  Allows for access to Blockchain Member nodes
BizTalk Contributor                                         Microsoft.Authorization/roleDefinitions  Lets you manage BizTalk services, but not access to them.
CDN Endpoint Contributor                                    Microsoft.Authorization/roleDefinitions  Can manage CDN endpoints, but cant grant access to other users.
CDN Profile Contributor                                     Microsoft.Authorization/roleDefinitions  Can manage CDN profiles and their endpoints, but cant grant access to other users.
CDN Profile Reader                                          Microsoft.Authorization/roleDefinitions  Can view CDN profiles and their endpoints, but cant make changes.
Classic Network Contributor                                 Microsoft.Authorization/roleDefinitions  Lets you manage classic networks, but not access to them.
Classic Storage Account Contributor                         Microsoft.Authorization/roleDefinitions  Lets you manage classic storage accounts, but not access to them.
Classic Storage Account Key Operator Service Role           Microsoft.Authorization/roleDefinitions  Classic Storage Account Key Operators are allowed to list and regenerate keys on Classic Storage Accounts
ClearDB MySQL DB Contributor                                Microsoft.Authorization/roleDefinitions  Lets you manage ClearDB MySQL databases, but not access to them.
Classic Virtual Machine Contributor                         Microsoft.Authorization/roleDefinitions  Lets you manage classic virtual machines, but not access to them, and not the virtual network or storage account theyre connected to.
Cognitive Services User                                     Microsoft.Authorization/roleDefinitions  Lets you read and list keys of Cognitive Services.
Cognitive Services Data Reader (Preview)                    Microsoft.Authorization/roleDefinitions  Lets you read Cognitive Services data.
Cognitive Services Contributor                              Microsoft.Authorization/roleDefinitions  Lets you create, read, update, delete and manage keys of Cognitive Services.
CosmosBackupOperator                                        Microsoft.Authorization/roleDefinitions  Can submit restore request for a Cosmos DB database or a container for an account
Contributor                                                 Microsoft.Authorization/roleDefinitions  Grants full access to manage all resources, but does not allow you to assign roles in Azure RBAC, manage assignments in Azure Blueprints, or share image galleries.
Cosmos DB Account Reader Role                               Microsoft.Authorization/roleDefinitions  Can read Azure Cosmos DB Accounts data
Cost Management Contributor                                 Microsoft.Authorization/roleDefinitions  Can view costs and manage cost configuration (e.g. budgets, exports)
Cost Management Reader                                      Microsoft.Authorization/roleDefinitions  Can view cost data and configuration (e.g. budgets, exports)
Data Box Contributor                                        Microsoft.Authorization/roleDefinitions  Lets you manage everything under Data Box Service except giving access to others.
Data Box Reader                                             Microsoft.Authorization/roleDefinitions  Lets you manage Data Box Service except creating order or editing order details and giving access to others.
Data Factory Contributor                                    Microsoft.Authorization/roleDefinitions  Create and manage data factories, as well as child resources within them.
Data Purger                                                 Microsoft.Authorization/roleDefinitions  Can purge analytics data
Data Lake Analytics Developer                               Microsoft.Authorization/roleDefinitions  Lets you submit, monitor, and manage your own jobs but not create or delete Data Lake Analytics accounts.
DevTest Labs User                                           Microsoft.Authorization/roleDefinitions  Lets you connect, start, restart, and shutdown your virtual machines in your Azure DevTest Labs.
DocumentDB Account Contributor                              Microsoft.Authorization/roleDefinitions  Lets you manage DocumentDB accounts, but not access to them.
DNS Zone Contributor                                        Microsoft.Authorization/roleDefinitions  Lets you manage DNS zones and record sets in Azure DNS, but does not let you control who has access to them.
EventGrid EventSubscription Contributor                     Microsoft.Authorization/roleDefinitions  Lets you manage EventGrid event subscription operations.
EventGrid EventSubscription Reader                          Microsoft.Authorization/roleDefinitions  Lets you read EventGrid event subscriptions.
Graph Owner                                                 Microsoft.Authorization/roleDefinitions  Create and manage all aspects of the Enterprise Graph - Ontology, Schema mapping, Conflation and Conversational AI and Ingestions
HDInsight Domain Services Contributor                       Microsoft.Authorization/roleDefinitions  Can Read, Create, Modify and Delete Domain Services related operations needed for HDInsight Enterprise Security Package
Intelligent Systems Account Contributor                     Microsoft.Authorization/roleDefinitions  Lets you manage Intelligent Systems accounts, but not access to them.
Key Vault Contributor                                       Microsoft.Authorization/roleDefinitions  Lets you manage key vaults, but not access to them.
Knowledge Consumer                                          Microsoft.Authorization/roleDefinitions  Knowledge Read permission to consume Enterprise Graph Knowledge using entity search and graph query
Lab Creator                                                 Microsoft.Authorization/roleDefinitions  Lets you create new labs under your Azure Lab Accounts.
Log Analytics Reader                                        Microsoft.Authorization/roleDefinitions  Log Analytics Reader can view and search all monitoring data as well as and view monitoring settings, including viewing the configuration of Azure diagnostics on all Azure resources.
Log Analytics Contributor                                   Microsoft.Authorization/roleDefinitions  Log Analytics Contributor can read all monitoring data and edit monitoring settings. Editing monitoring settings includes adding the VM extension to VMs; reading storage account keys to be able to configure collection of logs from Azure Storage; adding solutions; and configuring Azure diagnostics on all Azure resources.
Logic App Operator                                          Microsoft.Authorization/roleDefinitions  Lets you read, enable and disable logic app.
